rn_number,permit_number,publish_date,relative_file_location
RN100237452,2193,8-29-2008,data/MAERT/RN100237452_2193_8-29-2008_1713682159.pdf
RN100227016,53313,12-18-2002,data/MAERT/RN100227016_53313_12-18-2002_1712530127.pdf
RN102196474,17702,4-18-1994,data/MAERT/RN102196474_17702_4-18-1994_1713151393.pdf
RN102711157,41846,11-16-1999,data/MAERT/RN102711157_41846_11-16-1999_1712162361.pdf
RN104680871,1978,8-1-2007,data/MAERT/RN104680871_1978_8-1-2007_1714033131.pdf
RN102871019,32809,5-24-2012,data/MAERT/RN102871019_32809_5-24-2012_1711156909.pdf
RN100835693,8440A,3-18-2004,data/MAERT/RN100835693_8440A_3-18-2004_1713281348.pdf
RN100212109,2269C,5-16-1995,data/MAERT/RN100212109_2269C_5-16-1995_1711947785.pdf
RN103671186,92937,3-1-2012,data/MAERT/RN103671186_92937_3-1-2012_1713933646.pdf
RN101625721,46560,5-8-2006,data/MAERT/RN101625721_46560_5-8-2006_1712117864.pdf
RN100792571,44826,10-26-2000,data/MAERT/RN100792571_44826_10-26-2000_1712882128.pdf
RN101926434,40175,7-31-2012,data/MAERT/RN101926434_40175_7-31-2012_1712369218.pdf
RN100919349,40765A,10-5-2009,data/MAERT/RN100919349_40765A_10-5-2009_1711263654.pdf
RN101623254,9074,11-20-2002,data/MAERT/RN101623254_9074_11-20-2002_1712749235.pdf
RN103033635,28982,7-7-2020,data/MAERT/RN103033635_28982_7-7-2020_1712061991.pdf
RN101625721,2118,3-12-1993,data/MAERT/RN101625721_2118_3-12-1993_1712117822.pdf
RN111194916,HAP79,9-30-2021,data/MAERT/RN111194916_HAP79_9-30-2021_1711193832.pdf
RN102496130,44277,9-26-2011,data/MAERT/RN102496130_44277_9-26-2011_1714041405.pdf
RN100214337,5404,11-14-1994,data/MAERT/RN100214337_5404_11-14-1994_1713715762.pdf
RN103033635,28982,7-29-2015,data/MAERT/RN103033635_28982_7-29-2015_1712061986.pdf
RN100219005,71623,5-17-2013,data/MAERT/RN100219005_71623_5-17-2013_1712357733.pdf
RN102457520,46396,6-6-2017,data/MAERT/RN102457520_46396_6-6-2017_1712887777.pdf
RN101929503,7104,2-6-1997,data/MAERT/RN101929503_7104_2-6-1997_1712990069.pdf
RN100766203,35730,9-15-1997,data/MAERT/RN100766203_35730_9-15-1997_1711985927.pdf
RN100656370,131859,10-26-2015,data/MAERT/RN100656370_131859_10-26-2015_1713069305.pdf
RN101465730,29279,3-23-1996,data/MAERT/RN101465730_29279_3-23-1996_1713027097.pdf
RN102561925,1040,2-16-2006,data/MAERT/RN102561925_1040_2-16-2006_1712553642.pdf
RN100223205,751,5-6-1993,data/MAERT/RN100223205_751_5-6-1993_1712633282.pdf
RN104158852,71161,11-2-2005,data/MAERT/RN104158852_71161_11-2-2005_1712782853.pdf
RN100620954,148159,2-28-2023,data/MAERT/RN100620954_148159_2-28-2023_1713255424.pdf
RN101717999,9459,8-6-1997,data/MAERT/RN101717999_9459_8-6-1997_1712067409.pdf
RN102596137,45898,4-23-2001,data/MAERT/RN102596137_45898_4-23-2001_1712081602.pdf
RN102323268,22113,2-28-1994,data/MAERT/RN102323268_22113_2-28-1994_1713501295.pdf
RN101986768,51593L008,7-11-2003,data/MAERT/RN101986768_51593L008_7-11-2003_1713141335.pdf
RN102416948,9828,12-21-1999,data/MAERT/RN102416948_9828_12-21-1999_1713755777.pdf
RN101987170,35399,3-31-2020,data/MAERT/RN101987170_35399_3-31-2020_1712369071.pdf
RN100229012,42290,6-9-2000,data/MAERT/RN100229012_42290_6-9-2000_1711196021.pdf
RN102182904,47221,9-27-2011,data/MAERT/RN102182904_47221_9-27-2011_1711840327.pdf
RN102291226,29199,10-12-1995,data/MAERT/RN102291226_29199_10-12-1995_1711190774.pdf
RN102707049,9349A,6-27-2014,data/MAERT/RN102707049_9349A_6-27-2014_1713770217.pdf
RN100728864,27305,4-13-1995,data/MAERT/RN100728864_27305_4-13-1995_1712339122.pdf
RN100645753,38389,2-9-2009,data/MAERT/RN100645753_38389_2-9-2009_1711274825.pdf
RN100223205,17392,8-6-2014,data/MAERT/RN100223205_17392_8-6-2014_1712632445.pdf
RN100217959,17692,2-20-1998,data/MAERT/RN100217959_17692_2-20-1998_1711926656.pdf
RN102437274,20618,2-10-2006,data/MAERT/RN102437274_20618_2-10-2006_1711839492.pdf
RN100732932,24680,4-25-2013,data/MAERT/RN100732932_24680_4-25-2013_1713494884.pdf
RN102571585,166707,3-10-2022,data/MAERT/RN102571585_166707_3-10-2022_1711178472.pdf
RN100215664,33199,1-11-2001,data/MAERT/RN100215664_33199_1-11-2001_1713327456.pdf
RN100228196,3372,8-1-2016,data/MAERT/RN100228196_3372_8-1-2016_1713266916.pdf
RN104213905,71560,7-29-2004,data/MAERT/RN104213905_71560_7-29-2004_1712982891.pdf
RN103036380,54475,5-23-2003,data/MAERT/RN103036380_54475_5-23-2003_1711191017.pdf
RN101807402,38043,11-29-2006,data/MAERT/RN101807402_38043_11-29-2006_1713637882.pdf
RN109753731,GHGPSDTX170,2-4-2021,data/MAERT/RN109753731_GHGPSDTX170_2-4-2021_1712368759.pdf
RN108214214,80498L007,6-12-2014,data/MAERT/RN108214214_80498L007_6-12-2014_1713188903.pdf
RN101975738,41036,6-28-2019,data/MAERT/RN101975738_41036_6-28-2019_1713673547.pdf
RN100552454,7808,10-11-1995,data/MAERT/RN100552454_7808_10-11-1995_1711840142.pdf
RN100594852,8431,12-6-2007,data/MAERT/RN100594852_8431_12-6-2007_1712884906.pdf
RN100210996,4534,7-9-1996,data/MAERT/RN100210996_4534_7-9-1996_1712805058.pdf
RN100210038,6289,3-1-1996,data/MAERT/RN100210038_6289_3-1-1996_1711115231.pdf
RN100215268,7171,8-4-2006,data/MAERT/RN100215268_7171_8-4-2006_1712978078.pdf
RN100661750,38517,10-13-2015,data/MAERT/RN100661750_38517_10-13-2015_1712369953.pdf
RN105172621,82109,8-29-2007,data/MAERT/RN105172621_82109_8-29-2007_1711989665.pdf
RN102414232,77713,6-1-2012,data/MAERT/RN102414232_77713_6-1-2012_1711945598.pdf
RN100673136,77738,7-23-2021,data/MAERT/RN100673136_77738_7-23-2021_1711927819.pdf
RN102607116,20301,5-4-1995,data/MAERT/RN102607116_20301_5-4-1995_1711269293.pdf
RN101450005,20900,5-13-2005,data/MAERT/RN101450005_20900_5-13-2005_1712977793.pdf
RN104656749,72272,9-1-2004,data/MAERT/RN104656749_72272_9-1-2004_1712058221.pdf
RN104471958,78687,7-17-2006,data/MAERT/RN104471958_78687_7-17-2006_1711968122.pdf
RN102320850,21918,2-5-2019,data/MAERT/RN102320850_21918_2-5-2019_1711348005.pdf
RN100225945,104144,4-20-2017,data/MAERT/RN100225945_104144_4-20-2017_1713230637.pdf
RN102305505,9224A,3-10-1993,data/MAERT/RN102305505_9224A_3-10-1993_1713755363.pdf
RN105295802,95640,5-6-2011,data/MAERT/RN105295802_95640_5-6-2011_1713736853.pdf
RN104171707,71252L001,6-17-2004,data/MAERT/RN104171707_71252L001_6-17-2004_1712169189.pdf
RN100213859,20006,7-26-2011,data/MAERT/RN100213859_20006_7-26-2011_1713748331.pdf
RN102530490,560A,2-11-2013,data/MAERT/RN102530490_560A_2-11-2013_1713399170.pdf
RN100776384,79549,4-5-2007,data/MAERT/RN100776384_79549_4-5-2007_1713379163.pdf
RN104992698,55353,1-31-2007,data/MAERT/RN104992698_55353_1-31-2007_1713331446.pdf
RN100218247,2101,3-6-2000,data/MAERT/RN100218247_2101_3-6-2000_1712057890.pdf
RN102203445,6154A,4-8-1997,data/MAERT/RN102203445_6154A_4-8-1997_1712748383.pdf
RN100214212,19585,8-11-1998,data/MAERT/RN100214212_19585_8-11-1998_1713681905.pdf
RN101501096,2673,3-6-2012,data/MAERT/RN101501096_2673_3-6-2012_1712970261.pdf
RN104992276,8597,10-22-1999,data/MAERT/RN104992276_8597_10-22-1999_1713280791.pdf
RN100210095,79097,8-3-2007,data/MAERT/RN100210095_79097_8-3-2007_1712621844.pdf
RN102601762,21643,11-6-2003,data/MAERT/RN102601762_21643_11-6-2003_1712979590.pdf
RN102319407,37095,8-29-2007,data/MAERT/RN102319407_37095_8-29-2007_1713096601.pdf
RN101058824,148156,5-24-2019,data/MAERT/RN101058824_148156_5-24-2019_1712534751.pdf
RN100224435,18553,9-20-2019,data/MAERT/RN100224435_18553_9-20-2019_1711925640.pdf
RN101791481,167618,5-13-2022,data/MAERT/RN101791481_167618_5-13-2022_1712980836.pdf
RN100211176,18432,7-12-2002,data/MAERT/RN100211176_18432_7-12-2002_1713194441.pdf
RN101085256,20873,10-22-1996,data/MAERT/RN101085256_20873_10-22-1996_1712431359.pdf
RN100218726,16885,3-24-2015,data/MAERT/RN100218726_16885_3-24-2015_1713914397.pdf
RN102166048,9578,6-11-1997,data/MAERT/RN102166048_9578_6-11-1997_1713009075.pdf
RN102694353,22001,2-9-1993,data/MAERT/RN102694353_22001_2-9-1993_1712100075.pdf
RN102323268,8418,7-30-1997,data/MAERT/RN102323268_8418_7-30-1997_1713501809.pdf
RN102208089,76663L003,9-26-2008,data/MAERT/RN102208089_76663L003_9-26-2008_1712983581.pdf
RN100217199,1360A,1-19-2023,data/MAERT/RN100217199_1360A_1-19-2023_1713248237.pdf
RN102302007,27543,7-12-2011,data/MAERT/RN102302007_27543_7-12-2011_1712289033.pdf
RN104330451,72504,9-3-2004,data/MAERT/RN104330451_72504_9-3-2004_1714070909.pdf
RN103888012,1058,3-7-2014,data/MAERT/RN103888012_1058_3-7-2014_1711271879.pdf
RN102344454,21053,2-15-2013,data/MAERT/RN102344454_21053_2-15-2013_1713235287.pdf
RN102711389,81641L001,8-20-2018,data/MAERT/RN102711389_81641L001_8-20-2018_1711112132.pdf
RN100219526,19806,6-24-2011,data/MAERT/RN100219526_19806_6-24-2011_1711887030.pdf
RN102216819,3051,12-16-2011,data/MAERT/RN102216819_3051_12-16-2011_1713040948.pdf
RN102537289,28351,6-28-2010,data/MAERT/RN102537289_28351_6-28-2010_1711946319.pdf
RN102736089,19005,5-31-2019,data/MAERT/RN102736089_19005_5-31-2019_1712555349.pdf
RN101625721,29966,3-21-1996,data/MAERT/RN101625721_29966_3-21-1996_1712117847.pdf
RN102603784,20727,5-21-2012,data/MAERT/RN102603784_20727_5-21-2012_1712220246.pdf
RN102605144,3079A,5-28-2004,data/MAERT/RN102605144_3079A_5-28-2004_1713383842.pdf
RN100221472,7559,4-12-2013,data/MAERT/RN100221472_7559_4-12-2013_1713129582.pdf
RN104755434,161202,5-6-2021,data/MAERT/RN104755434_161202_5-6-2021_1711976843.pdf
RN100542711,914,1-4-2016,data/MAERT/RN100542711_914_1-4-2016_1713752978.pdf
RN100214576,20686,1-26-2021,data/MAERT/RN100214576_20686_1-26-2021_1711927951.pdf
RN100212109,83796,9-16-2019,data/MAERT/RN100212109_83796_9-16-2019_1711947803.pdf
RN102925088,54541,4-5-2005,data/MAERT/RN102925088_54541_4-5-2005_1711367276.pdf
RN100222223,33486,4-8-2008,data/MAERT/RN100222223_33486_4-8-2008_1714036133.pdf
RN102593894,9156,10-12-1994,data/MAERT/RN102593894_9156_10-12-1994_1712587082.pdf
RN102581170,48004,3-6-2002,data/MAERT/RN102581170_48004_3-6-2002_1711980696.pdf
RN100225671,56685,4-6-2010,data/MAERT/RN100225671_56685_4-6-2010_1712043969.pdf
RN102177391,45065,12-28-2011,data/MAERT/RN102177391_45065_12-28-2011_1711947232.pdf
RN100250869,20628,8-6-1999,data/MAERT/RN100250869_20628_8-6-1999_1713077413.pdf
RN100221589,22056,2-28-2012,data/MAERT/RN100221589_22056_2-28-2012_1712631104.pdf
RN103044053,19225,9-26-2014,data/MAERT/RN103044053_19225_9-26-2014_1711836222.pdf
RN104859194,77816,2-6-2017,data/MAERT/RN104859194_77816_2-6-2017_1712706046.pdf
RN101062099,9597,7-25-2014,data/MAERT/RN101062099_9597_7-25-2014_1712058328.pdf
RN102544517,24262,1-25-1995,data/MAERT/RN102544517_24262_1-25-1995_1712670630.pdf
RN100645753,38389,12-1-1998,data/MAERT/RN100645753_38389_12-1-1998_1711274828.pdf
RN101615870,50471,5-10-2013,data/MAERT/RN101615870_50471_5-10-2013_1712268893.pdf
RN100220375,75177,10-14-2005,data/MAERT/RN100220375_75177_10-14-2005_1713676838.pdf
RN107615544,GHGPSDTX111,3-24-2016,data/MAERT/RN107615544_GHGPSDTX111_3-24-2016_1711172978.pdf
RN100218973,128752,11-28-2017,data/MAERT/RN100218973_128752_11-28-2017_1711191884.pdf
RN110738523,156125,7-23-2019,data/MAERT/RN110738523_156125_7-23-2019_1713217507.pdf
RN102286184,22116,10-14-1993,data/MAERT/RN102286184_22116_10-14-1993_1712399444.pdf
RN101485183,6113,1-24-2012,data/MAERT/RN101485183_6113_1-24-2012_1712166660.pdf
RN100215961,20814,5-31-2012,data/MAERT/RN100215961_20814_5-31-2012_1713123196.pdf
RN101991479,78147,7-21-2009,data/MAERT/RN101991479_78147_7-21-2009_1711903314.pdf
RN100918796,44396,11-8-2011,data/MAERT/RN100918796_44396_11-8-2011_1712774822.pdf
RN100222900,101616,6-22-2023,data/MAERT/RN100222900_101616_6-22-2023_1713503011.pdf
RN100237452,2193,5-10-2007,data/MAERT/RN100237452_2193_5-10-2007_1713682135.pdf
RN111708863,PSDTX1620,10-5-2023,data/MAERT/RN111708863_PSDTX1620_10-5-2023_1712555649.pdf
RN100216191,76474,9-7-2017,data/MAERT/RN100216191_76474_9-7-2017_1712469231.pdf
RN102536307,1176,1-24-2007,data/MAERT/RN102536307_1176_1-24-2007_1713309533.pdf
RN103219127,77679,7-20-2016,data/MAERT/RN103219127_77679_7-20-2016_1711826864.pdf
RN100238708,95,7-10-1995,data/MAERT/RN100238708_95_7-10-1995_1714002449.pdf
RN100216761,19036,4-18-2000,data/MAERT/RN100216761_19036_4-18-2000_1712533281.pdf
RN100795616,16817,10-14-2002,data/MAERT/RN100795616_16817_10-14-2002_1711321527.pdf
RN102980604,53767L001,7-19-2013,data/MAERT/RN102980604_53767L001_7-19-2013_1712689902.pdf
RN103886057,92337,2-22-2011,data/MAERT/RN103886057_92337_2-22-2011_1711927571.pdf
RN100210038,18046,9-20-2000,data/MAERT/RN100210038_18046_9-20-2000_1711115212.pdf
RN102508751,19713,11-16-1994,data/MAERT/RN102508751_19713_11-16-1994_1712806788.pdf
RN104968912,149233,5-25-2021,data/MAERT/RN104968912_149233_5-25-2021_1713563043.pdf
RN100211176,2339A,9-17-2004,data/MAERT/RN100211176_2339A_9-17-2004_1713194570.pdf
RN102320850,21918,7-3-2014,data/MAERT/RN102320850_21918_7-3-2014_1711347997.pdf
RN102503604,24841,3-21-2001,data/MAERT/RN102503604_24841_3-21-2001_1711829240.pdf
RN104635032,76122,6-21-2017,data/MAERT/RN104635032_76122_6-21-2017_1713769622.pdf
RN100683697,79690,7-5-2007,data/MAERT/RN100683697_79690_7-5-2007_1713942113.pdf
RN100219815,18104,6-17-2003,data/MAERT/RN100219815_18104_6-17-2003_1711924640.pdf
RN106557192,107093,4-1-2013,data/MAERT/RN106557192_107093_4-1-2013_1712114906.pdf
RN102018322,4437A,9-29-1993,data/MAERT/RN102018322_4437A_9-29-1993_1712432271.pdf
RN106533185,172117,11-17-2023,data/MAERT/RN106533185_172117_11-17-2023_1712955381.pdf
RN100216035,4351,6-6-1996,data/MAERT/RN100216035_4351_6-6-1996_1712552921.pdf
RN102448024,41165,7-28-2004,data/MAERT/RN102448024_41165_7-28-2004_1712123544.pdf
RN104392626,1387,8-25-2011,data/MAERT/RN104392626_1387_8-25-2011_1713745878.pdf
RN102758018,27353,12-23-1997,data/MAERT/RN102758018_27353_12-23-1997_1712116153.pdf
RN102793171,2815,11-3-2021,data/MAERT/RN102793171_2815_11-3-2021_1713868091.pdf
RN101987170,35399,7-18-2007,data/MAERT/RN101987170_35399_7-18-2007_1712369065.pdf
RN107120339,117537,12-19-2014,data/MAERT/RN107120339_117537_12-19-2014_1713677347.pdf
RN100857556,3725,3-22-1996,data/MAERT/RN100857556_3725_3-22-1996_1713291613.pdf
RN100218973,19166,7-20-1995,data/MAERT/RN100218973_19166_7-20-1995_1711191919.pdf
RN100216159,18836,6-28-2016,data/MAERT/RN100216159_18836_6-28-2016_1711124716.pdf
RN102197662,71419,10-13-2004,data/MAERT/RN102197662_71419_10-13-2004_1711108713.pdf
RN100227495,36065,8-28-1998,data/MAERT/RN100227495_36065_8-28-1998_1713316627.pdf
RN100216134,16750,6-26-2012,data/MAERT/RN100216134_16750_6-26-2012_1713331909.pdf
RN100224740,5631,2-10-2009,data/MAERT/RN100224740_5631_2-10-2009_1711927150.pdf
RN104725445,2642,9-15-2004,data/MAERT/RN104725445_2642_9-15-2004_1711165541.pdf
RN103044053,19225,3-21-2012,data/MAERT/RN103044053_19225_3-21-2012_1711836220.pdf
RN100217538,7574,4-22-2005,data/MAERT/RN100217538_7574_4-22-2005_1712890105.pdf
RN100212166,20600,1-31-2024,data/MAERT/RN100212166_20600_1-31-2024_1712986545.pdf
RN100219963,20041,8-5-2013,data/MAERT/RN100219963_20041_8-5-2013_1712120991.pdf
RN101644193,6246,9-22-1994,data/MAERT/RN101644193_6246_9-22-1994_1712288488.pdf
RN102187788,34972,6-4-2002,data/MAERT/RN102187788_34972_6-4-2002_1713413380.pdf
RN101951887,9918,1-18-2001,data/MAERT/RN101951887_9918_1-18-2001_1712125442.pdf
RN100209931,2005,5-2-2006,data/MAERT/RN100209931_2005_5-2-2006_1714026650.pdf
RN100223205,723,12-7-2011,data/MAERT/RN100223205_723_12-7-2011_1712633054.pdf
RN100219526,22052,9-14-1994,data/MAERT/RN100219526_22052_9-14-1994_1711887048.pdf
RN100215276,811B,1-20-1998,data/MAERT/RN100215276_811B_1-20-1998_1712957023.pdf
RN100210996,7948,1-11-1996,data/MAERT/RN100210996_7948_1-11-1996_1712805085.pdf
RN102312436,36764,6-7-2012,data/MAERT/RN102312436_36764_6-7-2012_1712057650.pdf
RN100837400,22313,11-20-2003,data/MAERT/RN100837400_22313_11-20-2003_1712879266.pdf
RN102142221,18899,8-25-2004,data/MAERT/RN102142221_18899_8-25-2004_1711360688.pdf
RN102534138,6308,9-9-2002,data/MAERT/RN102534138_6308_9-9-2002_1712593614.pdf
RN101041598,3467B,9-30-2013,data/MAERT/RN101041598_3467B_9-30-2013_1713932429.pdf
RN100221878,56321,1-27-2004,data/MAERT/RN100221878_56321_1-27-2004_1711976141.pdf
RN102181526,47091,3-30-2009,data/MAERT/RN102181526_47091_3-30-2009_1711900677.pdf
RN100210434,53021,7-18-2003,data/MAERT/RN100210434_53021_7-18-2003_1714040681.pdf
RN100717677,51253,7-18-2023,data/MAERT/RN100717677_51253_7-18-2023_1712093858.pdf
RN103746087,22093,4-21-1993,data/MAERT/RN103746087_22093_4-21-1993_1711390693.pdf
RN102570009,54187,5-9-2005,data/MAERT/RN102570009_54187_5-9-2005_1712340761.pdf
RN100896190,34048,11-20-2004,data/MAERT/RN100896190_34048_11-20-2004_1713217001.pdf
RN105819841,91150,9-23-2016,data/MAERT/RN105819841_91150_9-23-2016_1711111379.pdf
RN102597796,43070,5-30-2000,data/MAERT/RN102597796_43070_5-30-2000_1711337684.pdf
RN100542927,8577,1-6-1997,data/MAERT/RN100542927_8577_1-6-1997_1713996673.pdf
RN102198058,5112,10-31-1995,data/MAERT/RN102198058_5112_10-31-1995_1713140496.pdf
RN100213719,946A,12-28-2004,data/MAERT/RN100213719_946A_12-28-2004_1712069476.pdf
RN102567310,870,10-9-2003,data/MAERT/RN102567310_870_10-9-2003_1711109938.pdf
RN100211176,2339A,5-15-2002,data/MAERT/RN100211176_2339A_5-15-2002_1713194666.pdf
RN102533924,25935,9-7-1995,data/MAERT/RN102533924_25935_9-7-1995_1712800871.pdf
RN100242577,8166,4-5-2013,data/MAERT/RN100242577_8166_4-5-2013_1711191727.pdf
RN101701654,596,2-3-2003,data/MAERT/RN101701654_596_2-3-2003_1712813671.pdf
RN102568888,36694,2-2-1998,data/MAERT/RN102568888_36694_2-2-1998_1712329478.pdf
RN100249416,105998,6-20-2013,data/MAERT/RN100249416_105998_6-20-2013_1713809837.pdf
RN102572682,9457,8-6-2019,data/MAERT/RN102572682_9457_8-6-2019_1712437717.pdf
RN100221589,22046,11-2-2004,data/MAERT/RN100221589_22046_11-2-2004_1712630679.pdf
RN100209451,6056,5-7-2021,data/MAERT/RN100209451_6056_5-7-2021_1712673256.pdf
RN105086680,80897,8-27-2007,data/MAERT/RN105086680_80897_8-27-2007_1713048603.pdf
RN102318656,46577,12-1-2011,data/MAERT/RN102318656_46577_12-1-2011_1713316104.pdf
RN102513041,2329,11-7-2017,data/MAERT/RN102513041_2329_11-7-2017_1713755135.pdf
RN106211683,99184L001,8-31-2012,data/MAERT/RN106211683_99184L001_8-31-2012_1711264880.pdf
RN104725445,5207,6-28-2019,data/MAERT/RN104725445_5207_6-28-2019_1711165556.pdf
RN100225879,4673B,6-6-2019,data/MAERT/RN100225879_4673B_6-6-2019_1712629236.pdf
RN102065315,71278,6-25-2014,data/MAERT/RN102065315_71278_6-25-2014_1712331978.pdf
RN102761152,43330,7-31-2000,data/MAERT/RN102761152_43330_7-31-2000_1713946819.pdf
RN102144953,6823A,1-30-2004,data/MAERT/RN102144953_6823A_1-30-2004_1712161962.pdf
RN101697878,38331,5-2-2011,data/MAERT/RN101697878_38331_5-2-2011_1712149398.pdf
RN101290591,44541,6-26-2017,data/MAERT/RN101290591_44541_6-26-2017_1712429939.pdf
RN102294212,18694,5-5-1995,data/MAERT/RN102294212_18694_5-5-1995_1712986822.pdf
RN100219740,42682,9-29-2023,data/MAERT/RN100219740_42682_9-29-2023_1712515397.pdf
RN100847946,37850,6-30-1998,data/MAERT/RN100847946_37850_6-30-1998_1712979336.pdf
RN100211861,20238,12-18-1996,data/MAERT/RN100211861_20238_12-18-1996_1711971197.pdf
RN102870714,6198,3-11-1996,data/MAERT/RN102870714_6198_3-11-1996_1712891473.pdf
RN100211879,22038,2-15-2013,data/MAERT/RN100211879_22038_2-15-2013_1712633945.pdf
RN102536307,1176,4-28-2011,data/MAERT/RN102536307_1176_4-28-2011_1713309556.pdf
RN102522919,38182,8-6-1998,data/MAERT/RN102522919_38182_8-6-1998_1713402361.pdf
RN102513041,166032,6-10-2022,data/MAERT/RN102513041_166032_6-10-2022_1713755088.pdf
RN100215326,5251,4-6-1994,data/MAERT/RN100215326_5251_4-6-1994_1713137686.pdf
RN101938843,22643,10-9-1998,data/MAERT/RN101938843_22643_10-9-1998_1711835738.pdf
RN102610821,22237,8-18-1993,data/MAERT/RN102610821_22237_8-18-1993_1713486076.pdf
RN102192697,20626,2-20-1996,data/MAERT/RN102192697_20626_2-20-1996_1713081047.pdf
RN106690621,109843,8-8-2013,data/MAERT/RN106690621_109843_8-8-2013_1712232479.pdf
RN100764083,17309,11-28-1994,data/MAERT/RN100764083_17309_11-28-1994_1712461041.pdf
RN100209618,7715,4-2-1996,data/MAERT/RN100209618_7715_4-2-1996_1713678198.pdf
RN102584026,6825A,1-24-2013,data/MAERT/RN102584026_6825A_1-24-2013_1712677339.pdf
RN100542935,19787,6-10-1994,data/MAERT/RN100542935_19787_6-10-1994_1713039022.pdf
RN101984649,6475,3-13-1996,data/MAERT/RN101984649_6475_3-13-1996_1711916430.pdf
RN100222702,34340,11-17-2010,data/MAERT/RN100222702_34340_11-17-2010_1713677730.pdf
RN102871811,23539,12-30-1993,data/MAERT/RN102871811_23539_12-30-1993_1711286607.pdf
RN100222983,43833,12-31-2002,data/MAERT/RN100222983_43833_12-31-2002_1713129061.pdf
RN102163896,6428,10-12-1998,data/MAERT/RN102163896_6428_10-12-1998_1711119211.pdf
RN100601566,19014,11-16-2005,data/MAERT/RN100601566_19014_11-16-2005_1712536722.pdf
RN101300960,37734,11-5-1998,data/MAERT/RN101300960_37734_11-5-1998_1712008193.pdf
RN102501202,5731,4-30-2012,data/MAERT/RN102501202_5731_4-30-2012_1713093371.pdf
RN100225085,2446A,12-3-2002,data/MAERT/RN100225085_2446A_12-3-2002_1711946788.pdf
RN100215276,811B,7-16-2002,data/MAERT/RN100215276_811B_7-16-2002_1712957046.pdf
RN100542802,141533,8-31-2016,data/MAERT/RN100542802_141533_8-31-2016_1713907017.pdf
RN100552181,81594,7-7-2021,data/MAERT/RN100552181_81594_7-7-2021_1713096894.pdf
RN100825363,22508,6-23-1997,data/MAERT/RN100825363_22508_6-23-1997_1713751173.pdf
RN100222413,1867A,1-17-2012,data/MAERT/RN100222413_1867A_1-17-2012_1711347647.pdf
RN100211861,20238,6-1-1993,data/MAERT/RN100211861_20238_6-1-1993_1711971192.pdf
RN100224450,5040,7-16-2021,data/MAERT/RN100224450_5040_7-16-2021_1711947021.pdf
RN102201506,6394,8-8-1994,data/MAERT/RN102201506_6394_8-8-1994_1712537047.pdf
RN102320850,94222,12-21-2010,data/MAERT/RN102320850_94222_12-21-2010_1711348040.pdf
RN100792571,42579,4-18-2001,data/MAERT/RN100792571_42579_4-18-2001_1712882091.pdf
RN102307915,19428,5-31-2000,data/MAERT/RN102307915_19428_5-31-2000_1713116996.pdf
RN106955495,126230,9-30-2020,data/MAERT/RN106955495_126230_9-30-2020_1711238176.pdf
RN100211259,40972,8-2-2010,data/MAERT/RN100211259_40972_8-2-2010_1712431829.pdf
RN109146928,139561,5-12-2020,data/MAERT/RN109146928_139561_5-12-2020_1711988675.pdf
RN100548759,49296,4-24-2002,data/MAERT/RN100548759_49296_4-24-2002_1712461156.pdf
RN102548153,19708,6-2-1995,data/MAERT/RN102548153_19708_6-2-1995_1712667946.pdf
RN111496667,169910,2-24-2023,data/MAERT/RN111496667_169910_2-24-2023_1712152255.pdf
RN100832104,9407,4-10-1997,data/MAERT/RN100832104_9407_4-10-1997_1712426656.pdf
RN101049518,19074,12-7-2006,data/MAERT/RN101049518_19074_12-7-2006_1711947097.pdf
RN100210038,6289,2-2-2009,data/MAERT/RN100210038_6289_2-2-2009_1711115223.pdf
RN101060648,33961,12-9-1999,data/MAERT/RN101060648_33961_12-9-1999_1712024134.pdf
RN100225085,20800,10-21-1996,data/MAERT/RN100225085_20800_10-21-1996_1711946770.pdf
RN100218130,2151,4-19-1996,data/MAERT/RN100218130_2151_4-19-1996_1711887160.pdf
RN102771078,24679,5-12-2011,data/MAERT/RN102771078_24679_5-12-2011_1712992554.pdf
RN100213628,20418,9-16-2014,data/MAERT/RN100213628_20418_9-16-2014_1712993978.pdf
RN102197662,3407,12-13-2012,data/MAERT/RN102197662_3407_12-13-2012_1711108711.pdf
RN100219344,21320,5-6-2003,data/MAERT/RN100219344_21320_5-6-2003_1713380053.pdf
RN100213198,9347,1-12-2015,data/MAERT/RN100213198_9347_1-12-2015_1713234549.pdf
RN100519651,1285,11-13-2006,data/MAERT/RN100519651_1285_11-13-2006_1711967995.pdf
RN102888328,5572B,11-28-2022,data/MAERT/RN102888328_5572B_11-28-2022_1711945271.pdf
RN101946531,31886,12-21-2005,data/MAERT/RN101946531_31886_12-21-2005_1711367675.pdf
RN100211291,9981,12-21-2005,data/MAERT/RN100211291_9981_12-21-2005_1713033404.pdf
RN101292795,40639,4-2-2003,data/MAERT/RN101292795_40639_4-2-2003_1712702852.pdf
RN100222041,32263,11-17-1998,data/MAERT/RN100222041_32263_11-17-1998_1712431683.pdf
RN100214386,38754,12-29-2000,data/MAERT/RN100214386_38754_12-29-2000_1712608098.pdf
RN102533445,9649,1-6-1995,data/MAERT/RN102533445_9649_1-6-1995_1712897797.pdf
RN100674142,3800,4-22-1993,data/MAERT/RN100674142_3800_4-22-1993_1712924396.pdf
RN100542711,49076,12-29-2009,data/MAERT/RN100542711_49076_12-29-2009_1713752813.pdf
