rn_number,permit_number,publish_date,relative_file_location
RN100225085,4445,8-29-2006,data/MAERT/RN100225085_4445_8-29-2006_1711946799.pdf
RN100238633,73600,5-29-2015,data/MAERT/RN100238633_73600_5-29-2015_1713363760.pdf
RN102292265,5038,3-12-2014,data/MAERT/RN102292265_5038_3-12-2014_1711265693.pdf
RN100223379,5536A,9-28-1994,data/MAERT/RN100223379_5536A_9-28-1994_1712531580.pdf
RN100219161,22104,5-22-2015,data/MAERT/RN100219161_22104_5-22-2015_1713094441.pdf
RN102605375,6048,7-28-2003,data/MAERT/RN102605375_6048_7-28-2003_1711839551.pdf
RN102420585,7236,12-13-1995,data/MAERT/RN102420585_7236_12-13-1995_1712310658.pdf
RN101050235,18792,2-17-1994,data/MAERT/RN101050235_18792_2-17-1994_1712000197.pdf
RN100249747,47739,2-1-2002,data/MAERT/RN100249747_47739_2-1-2002_1711970560.pdf
RN103019139,37265,5-7-1998,data/MAERT/RN103019139_37265_5-7-1998_1712230079.pdf
RN109451021,143519,1-24-2017,data/MAERT/RN109451021_143519_1-24-2017_1714032483.pdf
RN102502671,9259,9-11-1998,data/MAERT/RN102502671_9259_9-11-1998_1712673978.pdf
RN100219393,19449,3-31-2017,data/MAERT/RN100219393_19449_3-31-2017_1712716937.pdf
RN102211240,24611A,10-10-1994,data/MAERT/RN102211240_24611A_10-10-1994_1711266437.pdf
RN102505195,16786,10-13-2006,data/MAERT/RN102505195_16786_10-13-2006_1712899799.pdf
RN100560978,49056,12-20-2002,data/MAERT/RN100560978_49056_12-20-2002_1713485331.pdf
RN100854108,49364,6-27-2007,data/MAERT/RN100854108_49364_6-27-2007_1712322799.pdf
RN102450756,19566,6-1-2001,data/MAERT/RN102450756_19566_6-1-2001_1712042860.pdf
RN100219161,22104,10-18-2019,data/MAERT/RN100219161_22104_10-18-2019_1713094464.pdf
RN102467701,4430,4-15-2009,data/MAERT/RN102467701_4430_4-15-2009_1711177468.pdf
RN100214683,36809,12-18-2015,data/MAERT/RN100214683_36809_12-18-2015_1712045168.pdf
RN102775152,4906,6-23-1997,data/MAERT/RN102775152_4906_6-23-1997_1712618215.pdf
RN103035432,25030,10-5-1994,data/MAERT/RN103035432_25030_10-5-1994_1711998233.pdf
RN100219435,3384,9-27-2001,data/MAERT/RN100219435_3384_9-27-2001_1712368173.pdf
RN100221472,56300,7-2-2015,data/MAERT/RN100221472_56300_7-2-2015_1713129523.pdf
RN100519099,1009A,5-16-1995,data/MAERT/RN100519099_1009A_5-16-1995_1711123849.pdf
RN102321577,9449,3-24-1994,data/MAERT/RN102321577_9449_3-24-1994_1712992912.pdf
RN102536224,46999,5-31-2001,data/MAERT/RN102536224_46999_5-31-2001_1711967832.pdf
RN102503042,37980,12-15-2009,data/MAERT/RN102503042_37980_12-15-2009_1713931907.pdf
